65345,Persönlicher Konflikt
66235,Lohnfortzahlung
75264,Sport und Gesellschaft
75274,Jugendsport
75279,Behindertensport
75287,Sportorganisation
75300,Sport und Wirtschaft
75308,Sportwerbung
75312,Sportwettkampf
76087,Öffentliches Gebäude
76096,Verkehrsbau
76101,Straßenbau
76111,Wasserbau
76122,Kanalisationsbau
76123,Fahrzeugtechnik
76129,Fahrzeugantrieb
75742,Eislaufen
75750,Schlittensport
75757,Skisport
75763,Ski Alpin
76060,Gebäudeschutz
76063,Bauwerk
76080,Wirtschaftsgebäude
66254,Unregelmäßige Arbeitszeit
66262,Teilzeitarbeit
66267,Arbeitsruhe
66270,Urlaubsanspruch
66277,Arbeitsfehlzeit
66282,Arbeitsorganisation
66286,Arbeitsplatz
67246,Lebensmittelbestandteil
67256,Lebensmittelqualität
67262,Lebensmittel
67274,Fleischwirtschaft
67279,Fisch und Meeresfrüchte
67284,Fischverarbeitende Industrie
67292,Eier und Eiererzeugnis
76134,Fahrzeugmotor
76144,Fahrzeugteil
75772,Ski Nordisch
75774,Biathlon
75775,Skilanglauf
75781,Leistungssport
75796,Sportanlage
75961,Mineralölförderung
75976,Bautechnik
75983,Baustoff
76001,Bauweise
67295,Milch und Milchprodukt
68213,Armut
68216,Reichtum
68228,Privathaushalt
68235,Soziale Notlage
68239,Obdachlosigkeit
68244,Soziale Lage sozialer Gruppen
68245,Soziale Lage der Arbeiter
68246,Soziale Lage der Kinder und Jugendlichen
68254,Kinder- und Jugenderwerbstätigkeit
68256,Kinder- und Jugendverwahrlosung
68262,Soziale Lage der Behinderten
65354,Privatleben
65357,Persönliches Schicksal
65362,Physiognomie
65368,Schönheit
65375,Bildung
65386,Lernen
75329,Olympische Spiele
75349,Weltspiele
75355,Spielklasse
75364,Wettkampfverlauf
76157,Fahrzeugführung
76163,Navigation
76174,Chemietechnik
76180,Kunststofftechnologie
75191,Jainismus
75192,Hinduismus
75195,Sikhismus
75196,Chinesischer Universismus
75200,Shintoismus
75201,Stammesreligion
75204,Sekte
65407,Erziehung
66298,Arbeitsschutz
66301,Arbeitsklima
66314,Arbeitspsychologie
66327,Arbeitsmarkt
66333,Gruppenspezifischer Arbeitsmarkt
66340,Lehrstellenmarkt
67307,Molkereiwirtschaft
67326,Getreideerzeugnis
76194,Energiequelle
76196,Brennstoff
75803,Technik
75808,Normierung
75814,Maße und Gewichte
75817,Technischer Fortschritt
75823,Erfindung
75825,Technologietransfer
75826,Technologiepark
75828,Technik und Gesellschaft
75833,Technische Sicherheit
75844,Produktionstechnik
75848,Industrielle Fertigung
75851,Automatisierung
65908,Wirtschaftssanktion
65920,Zoll
65925,Weltwirtschaft
66905,Miete
66912,Mietwohnung
66913,Beratungsgewerbe
66920,Bergbauwirtschaft
66925,Steinkohlewirtschaft
66929,Baustoffindustrie
66931,Keramikindustrie
66940,Edelsteinindustrie
66942,Chemische Industrie
66943,Arzneimittelindustrie
66944,Biotechnologische Industrie
67850,Personenversicherung
67857,Lebensversicherung
67860,Private Krankenversicherung
67861,Haftpflichtversicherung
67863,Sachversicherung
67868,Kfz-Versicherung
76691,Abfalltransport
76695,Recycling
76704,Müllverbrennung
76708,Abfallwirtschaft
76734,Verkehrsplanung
76737,Verkehrsforschung
77320,Bionik
77323,Friedensforschung
77325,Kybernetik
77326,Zukunftsforschung
77329,Geisteswissenschaft
77340,Philosophie
77350,Philosophische Grundfrage
77353,Philosophische Schule
77366,Politikwissenschaft
77370,Volkskunde
77371,Ethnologie
77372,Wirtschaftswissenschaft
77376,Volkswirtschaftslehre
77377,Naturwissenschaft
77026,Seilbahn
77030,Schienennetz
77648,Gedächtnis
77652,Wahrnehmung
77663,Persönlichkeitspsychologie
77665,Persönlichkeitsdiagnostik
77674,Temperament
77680,Entwicklungspsychologie
77681,Sozialpsychologie
77684,Mathematik
